Date,Open,High,Low,Close,Volume,NASDAQ
2021-04-19,56191.58594,57520.05469,54368.59375,55724.26563,65344865159.0,13914.76953
2021-04-20,55681.79297,57062.14844,53448.04688,56473.03125,67849323955.0,13786.26953
2021-04-21,56471.12891,56757.97266,53695.46875,53906.08984,54926612466.0,13950.21973
2021-04-22,53857.10547,55410.23047,50583.8125,51762.27344,74798630778.0,13818.41016
2021-04-23,51739.80859,52120.79297,47714.66406,51093.65234,86668667320.0,14016.80957
2021-04-24,51143.22656,51167.5625,48805.28516,50050.86719,49014494781.0,14016.80957
2021-04-25,50052.83203,50506.01953,47159.48438,49004.25391,46117114240.0,14016.80957
2021-04-26,49077.79297,54288.00391,48852.79688,54021.75391,58284039825.0,14138.78027
2021-04-27,54030.30469,55416.96484,53319.1875,55033.11719,49448222757.0,14090.21973
2021-04-28,55036.63672,56227.20703,53887.91797,54824.70313,48000572955.0,14051.03027
2021-04-29,54858.08984,55115.84375,52418.02734,53555.10938,46088929780.0,14082.5498
2021-04-30,53568.66406,57900.71875,53129.60156,57750.17578,52395931985.0,13962.67969
2021-05-01,57714.66406,58448.33984,57052.27344,57828.05078,42836427360.0,13962.67969
2021-05-02,57825.86328,57902.59375,56141.90625,56631.07813,38177405335.0,13962.67969
2021-05-03,56620.27344,58973.30859,56590.87109,57200.29297,51713139031.0,13895.12012
2021-05-04,57214.17969,57214.17969,53191.42578,53333.53906,68564706967.0,13633.5
2021-05-05,53252.16406,57911.36328,52969.05469,57424.00781,69241316747.0,13582.41992
2021-05-06,57441.30859,58363.31641,55382.50781,56396.51563,69523285106.0,13632.83984
2021-05-07,56413.95313,58606.63281,55321.84766,57356.40234,68434023376.0,13752.24023
2021-05-08,57352.76563,59464.61328,56975.21094,58803.77734,65382980634.0,13752.24023
2021-05-09,58877.39063,59210.88281,56482.00391,58232.31641,65906690347.0,13752.24023
2021-05-10,58250.87109,59519.35547,54071.45703,55859.79688,71776546298.0,13401.86035
2021-05-11,55847.24219,56872.54297,54608.65234,56704.57422,61308396325.0,13389.42969
2021-05-12,56714.53125,57939.36328,49150.53516,49150.53516,75215403907.0,13031.67969
2021-05-13,49735.43359,51330.84375,46980.01953,49716.19141,96721152926.0,13124.99023
2021-05-14,49682.98047,51438.11719,48868.57813,49880.53516,55737497453.0,13429.98047
2021-05-15,49855.49609,50639.66406,46664.14063,46760.1875,59161047474.0,13429.98047
2021-05-16,46716.63672,49720.04297,43963.35156,46456.05859,64047871555.0,13429.98047
2021-05-17,46415.89844,46623.55859,42207.28906,43537.51172,74903638450.0,13379.0498
2021-05-18,43488.05859,45812.45703,42367.83203,42909.40234,56187365084.0,13303.63965
2021-05-19,42944.97656,43546.11719,30681.49609,37002.44141,126000000000.0,13299.74023
2021-05-20,36753.66797,42462.98438,35050.61719,40782.73828,88281943359.0,13535.74023
2021-05-21,40596.94922,42172.17188,33616.45313,37304.69141,82051616861.0,13470.99023
2021-05-22,37371.03125,38831.05469,35383.68359,37536.63281,57377273240.0,13470.99023
2021-05-23,37531.44922,38289.21875,31227.33984,34770.58203,78469274361.0,13470.99023
2021-05-24,34700.36328,39835.14063,34551.08203,38705.98047,67359584098.0,13661.16992
2021-05-25,38795.78125,39776.35156,36581.42969,38402.22266,56211915803.0,13657.16992
2021-05-26,38392.625,40782.07813,37905.83594,39294.19922,51346735160.0,13738.0
2021-05-27,39316.89063,40379.61719,37247.90234,38436.96875,43210968721.0,13736.28027
2021-05-28,38507.08203,38856.96875,34779.03906,35697.60547,55200191952.0,13748.74023
2021-05-29,35684.15625,37234.5,33693.92969,34616.06641,45231013335.0,13748.74023
2021-05-30,34607.40625,36400.66797,33520.73828,35678.12891,31646080921.0,13748.74023
2021-05-31,35658.59375,37468.25,34241.94531,37332.85547,39009847639.0,13748.74023
2021-06-01,37293.79297,37896.73438,35787.08594,36684.92578,34639423297.0,13736.48047
2021-06-02,36699.92188,38231.33984,35966.30859,37575.17969,33070867190.0,13756.33008
2021-06-03,37599.41016,39478.95313,37243.97266,39208.76563,35460750427.0,13614.50977
2021-06-04,39242.48438,39242.48438,35717.72266,36894.40625,41831090187.0,13814.49023
